"","Gruppe","Bewertet","Geraten_Exemplar","Geraten_Kurz","Belebtheit","Art","Groesse","Exemplar","Kurz","Spricht","Runde_Durchgang","Exemplar_Korrekt","Gruppe_Korrekt","Geraten_Belebtheit","Belebtheit_Korrekt","Geraten_Art","Art_Korrekt","Geraten_Groesse","Groesse_Korrekt"
"12","f","f3_w_24","Wanduhr","UGG","Unbelebt","Fahrzeug","Gross","SUV","UFG","f1_w_20","01_01",0,0,"Unbelebt",1,"Geraet",0,"Gross",1
"13","g","g2_w_25","Kaninchen","BSK","Belebt","Reptil","Klein","Blindschleiche","BRK","g1_w_27","01_01",0,0,"Belebt",1,"Saeugetier",0,"Klein",1
"14","g","g3_w_26","Kaninchen","BSK","Belebt","Reptil","Klein","Blindschleiche","BRK","g1_w_27","01_01",0,0,"Belebt",1,"Saeugetier",0,"Klein",1
"15","h","h2_m_34","Buerodrucker","UGG","Unbelebt","Geraet","Gross","Buerodrucker","UGG","h1_w_27","01_01",1,1,"Unbelebt",1,"Geraet",1,"Gross",1
"16","h","h3_m_30","Buerodrucker","UGG","Unbelebt","Geraet","Gross","Buerodrucker","UGG","h1_w_27","01_01",1,1,"Unbelebt",1,"Geraet",1,"Gross",1
"17","i","i2_w_24","Spatz","BVK","Belebt","Reptil","Klein","Gecko","BRK","i1_w_30","01_01",0,0,"Belebt",1,"Vogel",0,"Klein",1
"18","i","i3_m_21","Spatz","BVK","Belebt","Reptil","Klein","Gecko","BRK","i1_w_30","01_01",0,0,"Belebt",1,"Vogel",0,"Klein",1
"19","j","j2_w_20","Baer","BSG","Unbelebt","Fahrzeug","Gross","Jumbojet","UFG","j1_w_21","01_01",0,0,"Belebt",0,"Saeugetier",0,"Gross",1
"20","j","j3_w_21","Baer","BSG","Unbelebt","Fahrzeug","Gross","Jumbojet","UFG","j1_w_21","01_01",0,0,"Belebt",0,"Saeugetier",0,"Gross",1
"21","k","k2_w_22","Gecko","BRK","Belebt","Saeugetier","Klein","Igel","BSK","k1_w_22","01_01",0,0,"Belebt",1,"Reptil",0,"Klein",1
"22","k","k3_w_25","Spatz","BVK","Belebt","Saeugetier","Klein","Igel","BSK","k1_w_22","01_01",0,0,"Belebt",1,"Vogel",0,"Klein",1
"23","l","l2_w_22","Baer","BSG","Unbelebt","Instrument","Gross","Kontrabass","UIG","l1_w_20","01_01",0,0,"Belebt",0,"Saeugetier",0,"Gross",1
"24","l","l3_w_21","Baer","BSG","Unbelebt","Instrument","Gross","Kontrabass","UIG","l1_w_20","01_01",0,0,"Belebt",0,"Saeugetier",0,"Gross",1
"25","m","m2_w_19","Igel","BSK","Belebt","Vogel","Klein","Spatz","BVK","m1_w_18","01_01",0,0,"Belebt",1,"Saeugetier",0,"Klein",1
"26","m","m3_w_18","Kuh","BSG","Belebt","Vogel","Klein","Spatz","BVK","m1_w_18","01_01",0,0,"Belebt",1,"Saeugetier",0,"Gross",0
"27","a","a2_w_26","Bodentrommel","UIG","Unbelebt","Fahrzeug","Gross","Grosser Bagger","UFG","a1_m_31","01_02",0,0,"Unbelebt",1,"Instrument",0,"Gross",1
"28","a","a3_m_22","Jumbojet","UFG","Unbelebt","Fahrzeug","Gross","Grosser Bagger","UFG","a1_m_31","01_02",0,1,"Unbelebt",1,"Fahrzeug",1,"Gross",1
"29","b","b2_m_27","Anakonda","BRG","Belebt","Reptil","Gross","Anakonda","BRG","b1_w_20","01_02",1,1,"Belebt",1,"Reptil",1,"Gross",1
"30","b","b3_w_20","Wanduhr","UGG","Belebt","Reptil","Gross","Anakonda","BRG","b1_w_20","01_02",0,0,"Unbelebt",0,"Geraet",0,"Gross",1
"31","c","c2_w_20","Kleinflugzeug","UFK","Belebt","Vogel","Gross","Kondor","BVG","c1_w_41","01_02",0,0,"Unbelebt",0,"Fahrzeug",0,"Klein",0
"32","c","c3_w_31","Schildkroete","BRK","Belebt","Vogel","Gross","Kondor","BVG","c1_w_41","01_02",0,0,"Belebt",1,"Reptil",0,"Klein",0
"33","d","d2_w_32","Industriebackofen","UGG","Unbelebt","Fahrzeug","Klein","Kleiner Bagger","UFK","d1_w_24","01_02",0,0,"Unbelebt",1,"Geraet",0,"Gross",0
"34","d","d3_w_24","Kleiner Bagger","UFK","Unbelebt","Fahrzeug","Klein","Kleiner Bagger","UFK","d1_w_24","01_02",1,1,"Unbelebt",1,"Fahrzeug",1,"Klein",1
"35","e","e2_w_25","Armbanduhr","UGK","Unbelebt","Fahrzeug","Gross","Jumbojet","UFG","e1_w_24","01_02",0,0,"Unbelebt",1,"Geraet",0,"Klein",0
"36","e","e3_w_22","Armbanduhr","UGK","Unbelebt","Fahrzeug","Gross","Jumbojet","UFG","e1_w_24","01_02",0,0,"Unbelebt",1,"Geraet",0,"Klein",0
"37","f","f2_m_38","Anakonda","BRG","Belebt","Saeugetier","Gross","Elefant","BSG","f1_w_20","01_02",0,0,"Belebt",1,"Reptil",0,"Gross",1
"38","f","f3_w_24","Harpyie","BVG","Belebt","Saeugetier","Gross","Elefant","BSG","f1_w_20","01_02",0,0,"Belebt",1,"Vogel",0,"Gross",1
"39","g","g2_w_25","Schildkroete","BRK","Belebt","Saeugetier","Klein","Kaninchen","BSK","g1_w_27","01_02",0,0,"Belebt",1,"Reptil",0,"Klein",1
"40","g","g3_w_26","Armbanduhr","UGK","Belebt","Saeugetier","Klein","Kaninchen","BSK","g1_w_27","01_02",0,0,"Unbelebt",0,"Geraet",0,"Klein",1
"41","h","h2_m_34","Dompfaff","BVK","Belebt","Saeugetier","Klein","Kaninchen","BSK","h1_w_27","01_02",0,0,"Belebt",1,"Vogel",0,"Klein",1
"42","h","h3_m_30","Gecko","BRK","Belebt","Saeugetier","Klein","Kaninchen","BSK","h1_w_27","01_02",0,0,"Belebt",1,"Reptil",0,"Klein",1
"43","i","i2_w_24","Dompfaff","BVK","Belebt","Vogel","Klein","Blaumeise","BVK","i1_w_30","01_02",0,1,"Belebt",1,"Vogel",1,"Klein",1
"44","i","i3_m_21","Dompfaff","BVK","Belebt","Vogel","Klein","Blaumeise","BVK","i1_w_30","01_02",0,1,"Belebt",1,"Vogel",1,"Klein",1
"45","j","j2_w_20","Blindschleiche","BRK","Unbelebt","Instrument","Gross","Bodentrommel","UIG","j1_w_21","01_02",0,0,"Belebt",0,"Reptil",0,"Klein",0
"46","j","j3_w_21","Blaumeise","BVK","Unbelebt","Instrument","Gross","Bodentrommel","UIG","j1_w_21","01_02",0,0,"Belebt",0,"Vogel",0,"Klein",0
"47","k","k2_w_22","Spatz","BVK","Belebt","Vogel","Klein","Spatz","BVK","k1_w_22","01_02",1,1,"Belebt",1,"Vogel",1,"Klein",1
"48","k","k3_w_25","Igel","BSK","Belebt","Vogel","Klein","Spatz","BVK","k1_w_22","01_02",0,0,"Belebt",1,"Saeugetier",0,"Klein",1
"49","l","l2_w_22","Spatz","BVK","Belebt","Vogel","Klein","Spatz","BVK","l1_w_20","01_02",1,1,"Belebt",1,"Vogel",1,"Klein",1
"50","l","l3_w_21","Dompfaff","BVK","Belebt","Vogel","Klein","Spatz","BVK","l1_w_20","01_02",0,1,"Belebt",1,"Vogel",1,"Klein",1
"51","m","m2_w_19","Kleiner Bagger","UFK","Unbelebt","Fahrzeug","Klein","Kleiner Bagger","UFK","m1_w_18","01_02",1,1,"Unbelebt",1,"Fahrzeug",1,"Klein",1
"52","m","m3_w_18","Spatz","BVK","Unbelebt","Fahrzeug","Klein","Kleiner Bagger","UFK","m1_w_18","01_02",0,0,"Belebt",0,"Vogel",0,"Klein",1
"53","a","a2_w_26","Industriebackofen","UGG","Belebt","Saeugetier","Gross","Kuh","BSG","a1_m_31","01_03",0,0,"Unbelebt",0,"Geraet",0,"Gross",1
"54","a","a3_m_22","Krokodil","BRG","Belebt","Saeugetier","Gross","Kuh","BSG","a1_m_31","01_03",0,0,"Belebt",1,"Reptil",0,"Gross",1
"55","b","b2_m_27","Buerodrucker","UGG","Unbelebt","Fahrzeug","Klein","Kleinflugzeug","UFK","b1_w_20","01_03",0,0,"Unbelebt",1,"Geraet",0,"Gross",0
"56","b","b3_w_20","Violine","UIK","Unbelebt","Fahrzeug","Klein","Kleinflugzeug","UFK","b1_w_20","01_03",0,0,"Unbelebt",1,"Instrument",0,"Klein",1
"57","c","c2_w_20","Kirchenglocke","UIG","Unbelebt","Instrument","Klein","Gloeckchen","UIK","c1_w_41","01_03",0,0,"Unbelebt",1,"Instrument",1,"Gross",0
"58","c","c3_w_31","Gloeckchen","UIK","Unbelebt","Instrument","Klein","Gloeckchen","UIK","c1_w_41","01_03",1,1,"Unbelebt",1,"Instrument",1,"Klein",1
"59","d","d2_w_32","SUV","UFG","Unbelebt","Fahrzeug","Gross","SUV","UFG","d1_w_24","01_03",1,1,"Unbelebt",1,"Fahrzeug",1,"Gross",1
"60","d","d3_w_24","Buerodrucker","UGG","Unbelebt","Fahrzeug","Gross","SUV","UFG","d1_w_24","01_03",0,0,"Unbelebt",1,"Geraet",0,"Gross",1
"61","e","e2_w_25","Elefant","BSG","Unbelebt","Geraet","Klein","Backofen","UGK","e1_w_24","01_03",0,0,"Belebt",0,"Saeugetier",0,"Gross",0
"62","e","e3_w_22","Schildkroete","BRK","Unbelebt","Geraet","Klein","Backofen","UGK","e1_w_24","01_03",0,0,"Belebt",0,"Reptil",0,"Klein",1
"63","f","f2_m_38","Grosser Bagger","UFG","Unbelebt","Instrument","Gross","Bodentrommel","UIG","f1_w_20","01_03",0,0,"Unbelebt",1,"Fahrzeug",0,"Gross",1
"64","f","f3_w_24","Anakonda","BRG","Unbelebt","Instrument","Gross","Bodentrommel","UIG","f1_w_20","01_03",0,0,"Belebt",0,"Reptil",0,"Gross",1
"65","g","g2_w_25","Kleiner Bagger","UFK","Belebt","Vogel","Gross","Harpyie","BVG","g1_w_27","01_03",0,0,"Unbelebt",0,"Fahrzeug",0,"Klein",0
"66","g","g3_w_26","Blaumeise","BVK","Belebt","Vogel","Gross","Harpyie","BVG","g1_w_27","01_03",0,0,"Belebt",1,"Vogel",1,"Klein",0
"67","h","h2_m_34","Grosser Bagger","UFG","Unbelebt","Instrument","Gross","Bodentrommel","UIG","h1_w_27","01_03",0,0,"Unbelebt",1,"Fahrzeug",0,"Gross",1
"68","h","h3_m_30","Bodentrommel","UIG","Unbelebt","Instrument","Gross","Bodentrommel","UIG","h1_w_27","01_03",1,1,"Unbelebt",1,"Instrument",1,"Gross",1
"69","i","i2_w_24","Kontrabass","UIG","Unbelebt","Instrument","Gross","Kontrabass","UIG","i1_w_30","01_03",1,1,"Unbelebt",1,"Instrument",1,"Gross",1
"70","i","i3_m_21","Kontrabass","UIG","Unbelebt","Instrument","Gross","Kontrabass","UIG","i1_w_30","01_03",1,1,"Unbelebt",1,"Instrument",1,"Gross",1
"71","j","j2_w_20","Aeffchen","BSK","Belebt","Vogel","Gross","Storch","BVG","j1_w_21","01_03",0,0,"Belebt",1,"Saeugetier",0,"Klein",0
"72","j","j3_w_21","Kaninchen","BSK","Belebt","Vogel","Gross","Storch","BVG","j1_w_21","01_03",0,0,"Belebt",1,"Saeugetier",0,"Klein",0
"73","k","k2_w_22","Kleinflugzeug","UFK","Belebt","Vogel","Gross","Storch","BVG","k1_w_22","01_03",0,0,"Unbelebt",0,"Fahrzeug",0,"Klein",0
"74","k","k3_w_25","Drucker","UGK","Belebt","Vogel","Gross","Storch","BVG","k1_w_22","01_03",0,0,"Unbelebt",0,"Geraet",0,"Klein",0
"75","l","l2_w_22","Baer","BSG","Unbelebt","Geraet","Klein","Backofen","UGK","l1_w_20","01_03",0,0,"Belebt",0,"Saeugetier",0,"Gross",0
"76","l","l3_w_21","Komodowaran","BRG","Unbelebt","Geraet","Klein","Backofen","UGK","l1_w_20","01_03",0,0,"Belebt",0,"Reptil",0,"Gross",0
"77","m","m2_w_19","Buerodrucker","UGG","Unbelebt","Geraet","Gross","Buerodrucker","UGG","m1_w_18","01_03",1,1,"Unbelebt",1,"Geraet",1,"Gross",1
"78","m","m3_w_18","Buerodrucker","UGG","Unbelebt","Geraet","Gross","Buerodrucker","UGG","m1_w_18","01_03",1,1,"Unbelebt",1,"Geraet",1,"Gross",1
"79","a","a2_w_26","Kleinwagen","UFK","Unbelebt","Instrument","Gross","Bodentrommel","UIG","a1_m_31","01_04",0,0,"Unbelebt",1,"Fahrzeug",0,"Klein",0
"80","a","a3_m_22","Buerodrucker","UGG","Unbelebt","Instrument","Gross","Bodentrommel","UIG","a1_m_31","01_04",0,0,"Unbelebt",1,"Geraet",0,"Gross",1
"81","b","b2_m_27","Drucker","UGK","Unbelebt","Geraet","Klein","Drucker","UGK","b1_w_20","01_04",1,1,"Unbelebt",1,"Geraet",1,"Klein",1
"82","b","b3_w_20","SUV","UFG","Unbelebt","Geraet","Klein","Drucker","UGK","b1_w_20","01_04",0,0,"Unbelebt",1,"Fahrzeug",0,"Gross",0
"83","c","c2_w_20","Anakonda","BRG","Belebt","Reptil","Gross","Komodowaran","BRG","c1_w_41","01_04",0,1,"Belebt",1,"Reptil",1,"Gross",1
"84","c","c3_w_31","Komodowaran","BRG","Belebt","Reptil","Gross","Komodowaran","BRG","c1_w_41","01_04",1,1,"Belebt",1,"Reptil",1,"Gross",1
"85","d","d2_w_32","Spatz","BVK","Unbelebt","Instrument","Klein","Gloeckchen","UIK","d1_w_24","01_04",0,0,"Belebt",0,"Vogel",0,"Klein",1
"86","d","d3_w_24","Blaumeise","BVK","Unbelebt","Instrument","Klein","Gloeckchen","UIK","d1_w_24","01_04",0,0,"Belebt",0,"Vogel",0,"Klein",1
"87","e","e2_w_25","Blaumeise","BVK","Belebt","Vogel","Gross","Harpyie","BVG","e1_w_24","01_04",0,0,"Belebt",1,"Vogel",1,"Klein",0
"88","e","e3_w_22","Blaumeise","BVK","Belebt","Vogel","Gross","Harpyie","BVG","e1_w_24","01_04",0,0,"Belebt",1,"Vogel",1,"Klein",0
"89","f","f2_m_38","Harpyie","BVG","Unbelebt","Fahrzeug","Klein","Kleinflugzeug","UFK","f1_w_20","01_04",0,0,"Belebt",0,"Vogel",0,"Gross",0
"90","f","f3_w_24","Schildkroete","BRK","Unbelebt","Fahrzeug","Klein","Kleinflugzeug","UFK","f1_w_20","01_04",0,0,"Belebt",0,"Reptil",0,"Klein",1
"91","g","g2_w_25","Spatz","BVK","Belebt","Vogel","Klein","Blaumeise","BVK","g1_w_27","01_04",0,1,"Belebt",1,"Vogel",1,"Klein",1
"92","g","g3_w_26","Spatz","BVK","Belebt","Vogel","Klein","Blaumeise","BVK","g1_w_27","01_04",0,1,"Belebt",1,"Vogel",1,"Klein",1
"93","h","h2_m_34","Blindschleiche","BRK","Unbelebt","Instrument","Klein","Gloeckchen","UIK","h1_w_27","01_04",0,0,"Belebt",0,"Reptil",0,"Klein",1
"94","h","h3_m_30","Dompfaff","BVK","Unbelebt","Instrument","Klein","Gloeckchen","UIK","h1_w_27","01_04",0,0,"Belebt",0,"Vogel",0,"Klein",1
"95","i","i2_w_24","Kuh","BSG","Unbelebt","Geraet","Gross","Wanduhr","UGG","i1_w_30","01_04",0,0,"Belebt",0,"Saeugetier",0,"Gross",1
"96","i","i3_m_21","Kleinflugzeug","UFK","Unbelebt","Geraet","Gross","Wanduhr","UGG","i1_w_30","01_04",0,0,"Unbelebt",1,"Fahrzeug",0,"Klein",0
"97","j","j2_w_20","Kaninchen","BSK","Belebt","Saeugetier","Klein","Aeffchen","BSK","j1_w_21","01_04",0,1,"Belebt",1,"Saeugetier",1,"Klein",1
"98","j","j3_w_21","Aeffchen","BSK","Belebt","Saeugetier","Klein","Aeffchen","BSK","j1_w_21","01_04",1,1,"Belebt",1,"Saeugetier",1,"Klein",1
"99","k","k2_w_22","SUV","UFG","Belebt","Saeugetier","Gross","Kuh","BSG","k1_w_22","01_04",0,0,"Unbelebt",0,"Fahrzeug",0,"Gross",1
"100","k","k3_w_25","Elefant","BSG","Belebt","Saeugetier","Gross","Kuh","BSG","k1_w_22","01_04",0,1,"Belebt",1,"Saeugetier",1,"Gross",1
"101","l","l2_w_22","Armbanduhr","UGK","Unbelebt","Geraet","Gross","Buerodrucker","UGG","l1_w_20","01_04",0,0,"Unbelebt",1,"Geraet",1,"Klein",0
"102","l","l3_w_21","Armbanduhr","UGK","Unbelebt","Geraet","Gross","Buerodrucker","UGG","l1_w_20","01_04",0,0,"Unbelebt",1,"Geraet",1,"Klein",0
"103","m","m2_w_19","Anakonda","BRG","Belebt","Reptil","Gross","Anakonda","BRG","m1_w_18","01_04",1,1,"Belebt",1,"Reptil",1,"Gross",1
"104","m","m3_w_18","Anakonda","BRG","Belebt","Reptil","Gross","Anakonda","BRG","m1_w_18","01_04",1,1,"Belebt",1,"Reptil",1,"Gross",1
"105","a","a2_w_26","Anakonda","BRG","Belebt","Reptil","Klein","Blindschleiche","BRK","a1_m_31","01_05",0,0,"Belebt",1,"Reptil",1,"Gross",0
"106","a","a3_m_22","Anakonda","BRG","Belebt","Reptil","Klein","Blindschleiche","BRK","a1_m_31","01_05",0,0,"Belebt",1,"Reptil",1,"Gross",0
"107","b","b2_m_27","Aeffchen","BSK","Belebt","Reptil","Klein","Gecko","BRK","b1_w_20","01_05",0,0,"Belebt",1,"Saeugetier",0,"Klein",1
"108","b","b3_w_20","Blaumeise","BVK","Belebt","Reptil","Klein","Gecko","BRK","b1_w_20","01_05",0,0,"Belebt",1,"Vogel",0,"Klein",1
"109","c","c2_w_20","Schildkroete","BRK","Unbelebt","Geraet","Klein","Backofen","UGK","c1_w_41","01_05",0,0,"Belebt",0,"Reptil",0,"Klein",1
"110","c","c3_w_31","Kondor","BVG","Unbelebt","Geraet","Klein","Backofen","UGK","c1_w_41","01_05",0,0,"Belebt",0,"Vogel",0,"Gross",0
"111","d","d2_w_32","Buerodrucker","UGG","Unbelebt","Geraet","Gross","Buerodrucker","UGG","d1_w_24","01_05",1,1,"Unbelebt",1,"Geraet",1,"Gross",1
"112","d","d3_w_24","Backofen","UGK","Unbelebt","Geraet","Gross","Buerodrucker","UGG","d1_w_24","01_05",0,0,"Unbelebt",1,"Geraet",1,"Klein",0
"113","e","e2_w_25","Krokodil","BRG","Unbelebt","Fahrzeug","Klein","Kleiner Bagger","UFK","e1_w_24","01_05",0,0,"Belebt",0,"Reptil",0,"Gross",0
"114","e","e3_w_22","Buerodrucker","UGG","Unbelebt","Fahrzeug","Klein","Kleiner Bagger","UFK","e1_w_24","01_05",0,0,"Unbelebt",1,"Geraet",0,"Gross",0
"115","f","f2_m_38","Bodentrommel","UIG","Belebt","Saeugetier","Klein","Aeffchen","BSK","f1_w_20","01_05",0,0,"Unbelebt",0,"Instrument",0,"Gross",0
"116","f","f3_w_24","Blindschleiche","BRK","Belebt","Saeugetier","Klein","Aeffchen","BSK","f1_w_20","01_05",0,0,"Belebt",1,"Reptil",0,"Klein",1
"117","g","g2_w_25","Blaumeise","BVK","Unbelebt","Instrument","Klein","Gloeckchen","UIK","g1_w_27","01_05",0,0,"Belebt",0,"Vogel",0,"Klein",1
"118","g","g3_w_26","Gloeckchen","UIK","Unbelebt","Instrument","Klein","Gloeckchen","UIK","g1_w_27","01_05",1,1,"Unbelebt",1,"Instrument",1,"Klein",1
"119","h","h2_m_34","Backofen","UGK","Unbelebt","Geraet","Klein","Backofen","UGK","h1_w_27","01_05",1,1,"Unbelebt",1,"Geraet",1,"Klein",1
"120","h","h3_m_30","Komodowaran","BRG","Unbelebt","Geraet","Klein","Backofen","UGK","h1_w_27","01_05",0,0,"Belebt",0,"Reptil",0,"Gross",0
"121","i","i2_w_24","Storch","BVG","Belebt","Vogel","Gross","Harpyie","BVG","i1_w_30","01_05",0,1,"Belebt",1,"Vogel",1,"Gross",1
"122","i","i3_m_21","Storch","BVG","Belebt","Vogel","Gross","Harpyie","BVG","i1_w_30","01_05",0,1,"Belebt",1,"Vogel",1,"Gross",1
"123","j","j2_w_20","Elefant","BSG","Unbelebt","Instrument","Klein","Handtrommel","UIK","j1_w_21","01_05",0,0,"Belebt",0,"Saeugetier",0,"Gross",0
"124","j","j3_w_21","Elefant","BSG","Unbelebt","Instrument","Klein","Handtrommel","UIK","j1_w_21","01_05",0,0,"Belebt",0,"Saeugetier",0,"Gross",0
"125","k","k2_w_22","Bodentrommel","UIG","Unbelebt","Instrument","Gross","Bodentrommel","UIG","k1_w_22","01_05",1,1,"Unbelebt",1,"Instrument",1,"Gross",1
"126","k","k3_w_25","Buerodrucker","UGG","Unbelebt","Instrument","Gross","Bodentrommel","UIG","k1_w_22","01_05",0,0,"Unbelebt",1,"Geraet",0,"Gross",1
"127","l","l2_w_22","Storch","BVG","Belebt","Reptil","Klein","Gecko","BRK","l1_w_20","01_05",0,0,"Belebt",1,"Vogel",0,"Gross",0
"128","l","l3_w_21","Aeffchen","BSK","Belebt","Reptil","Klein","Gecko","BRK","l1_w_20","01_05",0,0,"Belebt",1,"Saeugetier",0,"Klein",1
"129","m","m2_w_19","Drucker","UGK","Belebt","Vogel","Gross","Storch","BVG","m1_w_18","01_05",0,0,"Unbelebt",0,"Geraet",0,"Klein",0
"130","m","m3_w_18","Drucker","UGK","Belebt","Vogel","Gross","Storch","BVG","m1_w_18","01_05",0,0,"Unbelebt",0,"Geraet",0,"Klein",0
"131","a","a2_w_26","Backofen","UGK","Unbelebt","Fahrzeug","Klein","Kleinwagen","UFK","a1_m_31","01_06",0,0,"Unbelebt",1,"Geraet",0,"Klein",1
"132","a","a3_m_22","Spatz","BVK","Unbelebt","Fahrzeug","Klein","Kleinwagen","UFK","a1_m_31","01_06",0,0,"Belebt",0,"Vogel",0,"Klein",1
"133","b","b2_m_27","Wanduhr","UGG","Unbelebt","Instrument","Gross","Kirchenglocke","UIG","b1_w_20","01_06",0,0,"Unbelebt",1,"Geraet",0,"Gross",1
"134","b","b3_w_20","Drucker","UGK","Unbelebt","Instrument","Gross","Kirchenglocke","UIG","b1_w_20","01_06",0,0,"Unbelebt",1,"Geraet",0,"Klein",0
"135","c","c2_w_20","Kirchenglocke","UIG","Unbelebt","Instrument","Gross","Kirchenglocke","UIG","c1_w_41","01_06",1,1,"Unbelebt",1,"Instrument",1,"Gross",1
"136","c","c3_w_31","Buerodrucker","UGG","Unbelebt","Instrument","Gross","Kirchenglocke","UIG","c1_w_41","01_06",0,0,"Unbelebt",1,"Geraet",0,"Gross",1
"137","d","d2_w_32","Kirchenglocke","UIG","Belebt","Saeugetier","Gross","Elefant","BSG","d1_w_24","01_06",0,0,"Unbelebt",0,"Instrument",0,"Gross",1
"138","d","d3_w_24","Industriebackofen","UGG","Belebt","Saeugetier","Gross","Elefant","BSG","d1_w_24","01_06",0,0,"Unbelebt",0,"Geraet",0,"Gross",1
"139","e","e2_w_25","Industriebackofen","UGG","Belebt","Saeugetier","Gross","Elefant","BSG","e1_w_24","01_06",0,0,"Unbelebt",0,"Geraet",0,"Gross",1
"140","e","e3_w_22","Schildkroete","BRK","Belebt","Saeugetier","Gross","Elefant","BSG","e1_w_24","01_06",0,0,"Belebt",1,"Reptil",0,"Klein",0
"141","f","f2_m_38","Dompfaff","BVK","Unbelebt","Geraet","Klein","Armbanduhr","UGK","f1_w_20","01_06",0,0,"Belebt",0,"Vogel",0,"Klein",1
"142","f","f3_w_24","Handtrommel","UIK","Unbelebt","Geraet","Klein","Armbanduhr","UGK","f1_w_20","01_06",0,0,"Unbelebt",1,"Instrument",0,"Klein",1
"143","g","g2_w_25","Komodowaran","BRG","Belebt","Reptil","Gross","Anakonda","BRG","g1_w_27","01_06",0,1,"Belebt",1,"Reptil",1,"Gross",1
"144","g","g3_w_26","Anakonda","BRG","Belebt","Reptil","Gross","Anakonda","BRG","g1_w_27","01_06",1,1,"Belebt",1,"Reptil",1,"Gross",1
"145","h","h2_m_34","Anakonda","BRG","Belebt","Reptil","Gross","Komodowaran","BRG","h1_w_27","01_06",0,1,"Belebt",1,"Reptil",1,"Gross",1
"146","h","h3_m_30","Anakonda","BRG","Belebt","Reptil","Gross","Komodowaran","BRG","h1_w_27","01_06",0,1,"Belebt",1,"Reptil",1,"Gross",1
"147","i","i2_w_24","Kontrabass","UIG","Belebt","Saeugetier","Gross","Elefant","BSG","i1_w_30","01_06",0,0,"Unbelebt",0,"Instrument",0,"Gross",1
"148","i","i3_m_21","Jumbojet","UFG","Belebt","Saeugetier","Gross","Elefant","BSG","i1_w_30","01_06",0,0,"Unbelebt",0,"Fahrzeug",0,"Gross",1
"149","j","j2_w_20","Kleinwagen","UFK","Unbelebt","Fahrzeug","Klein","Kleinwagen","UFK","j1_w_21","01_06",1,1,"Unbelebt",1,"Fahrzeug",1,"Klein",1
"150","j","j3_w_21","Baer","BSG","Unbelebt","Fahrzeug","Klein","Kleinwagen","UFK","j1_w_21","01_06",0,0,"Belebt",0,"Saeugetier",0,"Gross",0
"151","k","k2_w_22","Jumbojet","UFG","Belebt","Reptil","Gross","Komodowaran","BRG","k1_w_22","01_06",0,0,"Unbelebt",0,"Fahrzeug",0,"Gross",1
"152","k","k3_w_25","Kleinflugzeug","UFK","Belebt","Reptil","Gross","Komodowaran","BRG","k1_w_22","01_06",0,0,"Unbelebt",0,"Fahrzeug",0,"Klein",0
"153","l","l2_w_22","Gecko","BRK","Belebt","Vogel","Gross","Storch","BVG","l1_w_20","01_06",0,0,"Belebt",1,"Reptil",0,"Klein",0
"154","l","l3_w_21","Gecko","BRK","Belebt","Vogel","Gross","Storch","BVG","l1_w_20","01_06",0,0,"Belebt",1,"Reptil",0,"Klein",0
